Cima Monte Santa Barbara;44.33455;11.247291;Generico;
Palazzo Sersanti;44.3527867;11.7149706;museum;
chiesa dell'osservanza;44.3513489;11.7090588;place_of_worship;
Portale di ingresso delle Piazze;44.5684084;11.3577276;monument;
Monumento ai Partigiani di Porta Lame;44.5024744;11.3334278;monument;it:3136731
Ugo Bassi;44.4955621;11.3389499;artwork;
La Croce;44.2525501;11.1350726;memorial;
Edicola della Croce;44.2176929;11.0933178;Generico;
Memoriale WWII;44.2057392;10.8986461;memorial;
Trincee tedesche WWII;44.2057571;10.8987583;Generico;
fox holes WWII;44.2092967;10.8963101;Generico;
fox holes WWII;44.2094213;10.8958982;Generico;
fox holes WWII;44.2097728;10.8958517;Generico;
Castello di Galeazza;44.7977343;11.2785639;Generico;
Statue of Guglielmo Marconi;44.4310137;11.2677336;artwork;it:955335
Bust of Guglielmo Marconi;44.4313606;11.2680141;artwork;it:955335
Part of Panfilo Elettra;44.4309179;11.2675568;monument;
FisicLab - Tecnoscienza;44.6406535;11.1859034;museum;
Museo Geologico Giovanni Capellini;44.4977981;11.3552642;museum;
S. Margherita;44.2961503;11.5579845;ruins;
Memoriale a Nicholas Green;44.4983122;11.3038209;memorial;
Padre Pio;44.4905913;11.3306861;memorial;
Castello di Frassineto;44.3454544;11.5008443;ruins;
SACMI;44.3666623;11.7280601;memorial;
Cà di Minghetto;44.2455222;11.2900315;ruins;
Statua di San Domenico;44.4898903;11.3437166;artwork;it:574711
Madonna del Rosario;44.4898936;11.344587;artwork;
Tomba di Egidio Foscherari;44.490007;11.3446327;artwork;it:Tombe dei Glossatori della Scuola bolognese#Tomba di Egidio Foscherari
Tomba di Rolandino dei Passaggeri;44.4898937;11.3440796;artwork;it:Tombe dei Glossatori della Scuola bolognese#Tomba di Rolandino dei Passaggeri
Tomba di Odofredo Denari;44.4946534;11.336357;artwork;it:Tombe dei Glossatori della Scuola bolognese#Tomba di Odofredo Denari
Tomba di Rolandino dei Romanzi;44.4949717;11.3364437;artwork;it:Tombe dei Glossatori della Scuola bolognese#Tomba di Rolandino dei Romanzi
Tomba degli Accursii;44.4945196;11.3363145;artwork;it:Tombe dei Glossatori della Scuola bolognese#Tomba degli Accursii
monumento ai partigiani caduti e Palmieri;44.2383873;11.4433025;monument;
Monumento ai carabinieri uccisi dalla banda della uno bianca, Mauro Mitilini, Andrea Moneta, Otello Stefanini;44.5107318;11.396305;monument;
Capitello;44.6346907;11.40146;Generico;
Memoriale partigiani rastrellati a Borgata Città;44.5777395;11.1703443;memorial;
Chiesa dei Santi Giacomo e Biagio;44.5574928;11.4949188;place_of_worship;
Capitello Madonna;44.3959752;11.4616297;Generico;
Madonnina;44.3632858;11.4772375;Generico;
Scalinata del Pincio;44.5036403;11.3453932;monument;
Fontana Cà di Pippo;44.33195;11.3861;fountain;
L’Orso Wojtek;44.353678;11.7241874;memorial;
